Name,Status,Channel,Date created,Last Modified,Publisher,Publisher Type,Version,Owner,Description,Platform,Creator Id,Environment Id,Bot Id,Custom actions,Title ID,Sensitivity,Can read OneDrive and Sharepoint items,OneDrive and Sharepoint items,Can read OneDrive files,OneDrive files,OneDrive sites,Can read Sharepoint sites and files,Sharepoint files,Sharepoint sites,Can extend to Graph connector,Graph connector details,Can generate images using user prompt,Can use code interpreter,Contains uploaded files,Uploaded files,Instructions
RFP Creator,Draft,,2026-06-04 16:33:29Z,2026-06-05 16:17:09Z,,Shared,1.0,"TRAN, JOSE",,Copilot Studio,1b6e1887-8ac6-48bb-9153-68a85aa2c1b4,,3dea711b-3360-f111-a825-000d3a382db9,,T_51c42388-f620-0417-c3be-e4e4d35a6c28,,,,,,,,,,,,,,,,
CONSULTAS STATKAFT,Available,Copilot,2026-06-05 15:00:14Z,2026-06-05 15:00:14Z,"JIMENEZ, DONALD",Shared,1.0.0,"JIMENEZ, DONALD",Consultas,Microsoft 365 Copilot Agent Builder,fdd28741-429a-4213-920e-2b4316c29366,,,,T_6549838c-c732-f773-2b67-3de46fbb36ac,,,,,,,,,,,,,,,,
Consultas Proyecto EMMA,Available,Copilot,2026-06-05 14:53:37Z,2026-06-05 14:53:37Z,"JIMENEZ, DONALD",Shared,1.0.0,"JIMENEZ, DONALD","Bot para responder consultas sobre el Proyecto EMMA de Statkraft, ofreciendo información actualizada, recursos y guía para usuarios interesados en el proyecto.",Microsoft 365 Copilot Agent Builder,fdd28741-429a-4213-920e-2b4316c29366,,,,T_9971c60b-be59-40de-b039-82c71fee0c85,,,,,,,,,,,,,,,,
ParseForge,Available,Copilot,2026-05-14 15:16:34Z,2026-06-05 14:47:04Z,"Edwards, Carolyn",Shared,1.0.97,"Powell, Scott","Supports Data and PITT workbook processing for Power BI M code lineage extraction, including file-based and pasted workflows. Handles tab-specific parsing, column mapping, preview validation, and uncertainty handling for consistent output.",Microsoft 365 Copilot Agent Builder,809bfb13-e2a9-4a61-919f-6e8a4fa21870,,,,T_e8f99b84-6d10-5e4b-3dbd-b90e56bc4f3b,,,,,,,,,,,,,,,,
PW SIC Automated Weekly Report Agent,Available,,2026-06-03 09:06:21Z,2026-06-05 06:21:51Z,,Shared,1.0,"Martin, Daniel",,Copilot Studio,df701a07-4e31-458e-8880-8f84b41fc697,,ec4b6379-2b5f-f111-a826-70a8a59ad5ae,,T_93c6a355-fcd3-9920-68ce-82c3d98711fd,,,,,,,,,,,,,,,,
Sphera Data Sync Agent,Draft,,2026-06-05 03:55:56Z,2026-06-05 05:07:39Z,,Shared,1.0,"Gibson, Brenda",,Copilot Studio,25523290-c45a-4b9c-b65d-ecc625f4f23e,,164bf76f-9260-f111-a826-7ced8d6f945b,,T_498cc8dc-5adc-0a93-ed65-5d2429e95da1,,,,,,,,,,,,,,,,
Service,Available,Copilot;Outlook;Teams;Office,2024-05-16 12:18:51Z,2026-03-27 16:22:44Z,Jennifer Lewis,FirstParty,49.26079.11,,"Service synthesizes vast amounts of data already available from trusted knowledge sources to enhance customer experiences and boost agent productivity. Without costly rip and replace efforts, Service provides flexibility to quickly begin realizing the benefits of bringing data from existing investments in CRM and contact center solutions such as Salesforce. Service brings AI capabilities such as case summary, drafting an email, and chat with copilot when embedded in CRM. Additionally, Service works in Microsoft Outlook and Microsoft Teams providing capabilities such as email summary, case summary and edit/update to CRM records and since Service is included ins Microsoft 365 Copilot license, service representatives are equipped more broadly with productivity enhancements in their flow of work across the tools agents already use every day, such as Outlook and Teams.  A Microsoft 365 Global Administrator is required to install and set up Service. Service also requires a paid license to access the app capabilities. For more details, please visit the Service website or contact your Microsoft representative.  Service allows administrators and users to access content and share data outside of Microsoft 365, including with third-party CRM services. Such data sharing is subject to Microsoft and applicable third-party CRM terms and conditions. Data sharing is not enabled until administrators and users in your organization consent to connect their Microsoft work or school account with their CRM account.  Service for Microsoft Teams will have permission to participate in Teams meetings and collect Teams meetings data such as meeting recordings and transcripts. [Click here](https://go.microsoft.com/fwlink/?linkid=2259507) for more information to get started with Service.",,,,,,P_deddb90f-f59a-782a-54f3-ae378aea227a,,,,,,,,,,,,,,,,
Sales,Available,Copilot;Outlook;Teams;Office,2024-03-21 02:19:32Z,2026-05-04 17:55:55Z,Jennifer Lewis,FirstParty,49.26079.5,,"Sales in Microsoft 365 Copilot brings AI directly into the applications that sellers use daily – Copilot, Outlook, and Teams – to help them move with speed and agility while staying focused on customer engagement.  **What you can do with Sales:**  - Get customer and deal info from Dynamics 365 or Salesforce CRM using natural language - Prepare for customer meetings in minutes - Draft sales emails and create personalized content for customers - Get AI-generated insights and next-step recommendations - Managers can track performance and coach with AI-powered tools - Customize Sales according to your business needs  A Microsoft 365 Global Administrator is required to install and set up Sales. It may be subject to an additional free or paid license. For more details, please read documentation about [getting started with Sales](https://go.microsoft.com/fwlink/p/?linkid=2334953) or contact your Microsoft representative.  Sales allows administrators and users to access content and share data outside of Microsoft 365, including with third-party customer relationship management (CRM) services. Such data sharing is subject to Microsoft and applicable third-party CRM terms and conditions. Data sharing is not enabled until administrators and users in your organization consent to connect their Microsoft work or school account with their CRM account.  Sales in Microsoft 365 Copilot will have permission to participate in Microsoft Teams meetings and collect Teams meetings data such as meeting recordings and transcripts.  **Note:** When Sales is deployed by an administrator, it will have permission to automatically review email and appointment recipient lists when sending emails or creating and modifying appointments. This allows support for key actions such as displaying a banner to add new contacts to the CRM system and updating the Sales side panel with relevant CRM information for those contacts.  **Discover more with these helpful links:** - [Explore what's possible with Sales](https://go.microsoft.com/fwlink/p/?linkid=2259005) - Check out our [FAQ](https://go.microsoft.com/fwlink/p/?linkid=2258498)",,,,,,P_280ba0c3-7951-e7a8-68d3-8d65f9ca8149,,,,,,,,,,,,,,,,
GSD Live Chat,Available,Teams;Copilot,2025-10-02 20:05:02Z,2026-06-04 23:56:04Z,Edward Nguyen,LOB,1.6.2,,Live chat service that will connect you directly with the GSD,,,,,,T_7085c817-a7c6-86d3-3ef2-633dbc937c38,,,,,,,,,,,,,,,,
Sphera Data Sync Agent,Draft,,2026-06-04 21:08:01Z,2026-06-04 21:08:43Z,,Shared,1.0,"Gibson, Brenda",,Copilot Studio,25523290-c45a-4b9c-b65d-ecc625f4f23e,,a72efa74-5960-f111-a825-002248091f78,,T_338a801d-f1a0-76c4-0ab1-1dfea535d9c8,,,,,,,,,,,,,,,,
Datasite Copilot Agent,Available,Copilot,2026-06-03 05:08:08Z,2026-06-02 22:41:11Z,Steven Rogers,ThirdParty,1.0.20,,"Datasite Copilot Agent helps M&A teams and deal professionals manage virtual data rooms    and collaboration workflows through natural conversation.      Key capabilities:   - List and navigate M&A projects and subscriptions   - Search documents across data rooms using semantic search   - Set up new projects with guided workflows   - Manage team access and permissions   - Track Q&A progress and communication   - Upload and organize documents      Perfect for due diligence teams, deal advisors, and data room administrators who need    quick answers about their VDR content and project status.  Datasite Copilot Agent requires a Datasite account.  For more information visit www.datasite.com. ",,,,,,P_ffa967c5-7580-3118-f510-b87c3b443cbe,,,,,,,,,,,,,,,,
